year,per_capita_prevoyance_sociale,per_capita_sante,per_capita_formation,per_capita_trafic_telecom,per_capita_finances_impots,per_capita_autres,median_salary_ratio_prevoyance_sociale,median_salary_ratio_sante,median_salary_ratio_formation,median_salary_ratio_trafic_telecom,median_salary_ratio_finances_impots,median_salary_ratio_autres
2014,2954.0463005497977,1707.5482313941927,1070.7707094148689,242.31335943095362,505.8997655450515,573.317146983792,0.03953911420588122,0.022855073233137818,0.014331977586128987,0.003243299060806211,0.006771332122618207,0.007673695617622229
2015,3112.597182790291,1710.1174336837798,1099.674656708756,242.97945138547772,731.1689817680069,573.6999623451297,0.041349130968572866,0.022717963676122267,0.01460856922138206,0.003227847539527575,0.009713175271906144,0.007621286496959585
2016,3199.8095730040823,1762.8194502801796,1267.1220467432743,284.50846834761535,260.36972647641954,300.88750287503643,0.04194601191605163,0.023108639430027,0.016610587367511854,0.0037295955685021152,0.003413163002417539,0.003944306838590483
2017,3374.6236077262383,1583.4357187455942,1252.6599226570524,273.94433926161656,264.6138391508389,282.28035811396,0.04434226332027539,0.020806208855587014,0.01645984340714092,0.003599605004488812,0.0034770030373020983,0.0037091395736618313
2018,3323.509489328411,1965.0708231583105,1287.7479810338407,331.2704177404076,250.60550238576687,325.0379298192116,0.04380185420064857,0.025898450408011895,0.016971743120800263,0.004365944669466071,0.0033028296481860783,0.004283804230839945
2019,3459.674377983545,1723.7423209376643,1312.7127559273924,302.49178749714673,220.670696003414,312.52170978850944,0.044977566016426745,0.0224095465540518,0.0170659484649947,0.0039325505394844865,0.002868833801396438,0.004062944745040424
2020,3587.0182754814177,2030.0122654237705,1319.5792959646756,323.354593401202,259.71912179565805,457.7186311787072,0.046065370569186546,0.026069916595055358,0.01694636173992751,0.004152599185817049,0.0033353768145535784,0.005878135192617085
2021,3531.720066573354,1949.568620690911,1331.959944303693,349.18719567637385,347.5714200737357,736.7730375488769,0.04468043199450122,0.024664346701721965,0.016850867166435062,0.004417630632007159,0.004397189161400431,0.009321049511017622
2022,3656.486408735771,1946.3463133327155,1335.1829762238638,328.77944031651765,285.9503774114067,352.16438309996136,0.045573915753511954,0.02425897788080461,0.01664152677515036,0.004097859212240972,0.0035640439900713767,0.0043893257440916515
2023,3904.46920311047,1989.1138280261325,1352.0866639962283,356.71739317951136,289.76973967952375,356.6784000529361,0.04823190536503694,0.0245715217416016,0.016702325625015172,0.00440652971118084,0.0035795253938077348,0.00440604802911523
2024,4172.419716529029,2156.6756139942904,1365.4295827397987,342.17743754301785,296.1522595994854,380.1359978217912,0.05108751734412074,0.02640654831514216,0.016718454093689376,0.0041896541965792174,0.0036261173915109876,0.004654422541651866
2025,4321.568663752306,2210.6000050912608,1370.604448373458,365.47153175211116,358.7429676959499,371.12167419170447,0.05244367583797274,0.026826367713839873,0.016632741716099436,0.004435118826174836,0.004353465459151861,0.004503685187511583
