year,charges_totales_chf,charges_personnel_mch1_chf,charges_biens_services_mch1_chf,charges_interets_mch1_chf,charges_amortissements_mch1_chf,charges_parts_contributions_mch1_chf,charges_remboursements_collectivites_mch1_chf,charges_aides_subventions_privees_mch1_chf,charges_subventions_redistribuees_mch1_chf,charges_attributions_fonds_mch1_chf,charges_imputations_internes_mch1_chf,charges_personnel_mch2_chf,charges_biens_services_mch2_chf,charges_amortissements_mch2_chf,charges_financieres_mch2_chf,charges_attributions_fonds_mch2_chf,charges_transfert_mch2_chf,charges_subventions_redistribuer_mch2_chf,charges_extraordinaires_mch2_chf,charges_imputations_internes_mch2_chf,charges_transfert_administration_generale_chf,charges_transfert_ordre_securite_chf,charges_transfert_formation_chf,charges_transfert_culture_sport_loisirs_eglise_chf,charges_transfert_sante_chf,charges_transfert_prevoyance_sociale_chf,charges_transfert_trafic_telecom_chf,charges_transfert_protection_environnement_chf,charges_transfert_economie_publique_chf,charges_transfert_finances_impots_chf,charges_transfert_prevoyance_maladie_accident_chf,charges_transfert_prevoyance_invalidite_chf,charges_transfert_prevoyance_vieillesse_survivants_chf,charges_transfert_prevoyance_famille_jeunesse_chf,charges_transfert_prevoyance_chomage_chf,charges_transfert_prevoyance_aide_sociale_asile_chf,charges_transfert_fonc_total_chf,cpi_dec1982_base100,pib_nominal_chf,pib_reel_chf,population_canton,population_vevey,salaire_median_vaud_chf,salaire_median_vaud_approx_chf,salaire_median_vaud_approx_method,subsides_maladie_pc_avs_ai_chf,subsides_maladie_ri_cas_rigueur_chf,subsides_maladie_partiels_chf,subsides_maladie_collectif_agees_chf,subsides_maladie_total_chf,taxes_canton_chf,taxes_communes_chf,taxes_vevey_chf,wage_index_ch_nominal,wage_index_ch_real
1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.8,,,518827.0,15409.0,,2997.0,extrapolated_ch_index_backward,,,,,,,,,1124.0,251.0
1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,,,523322.0,15439.0,,3208.0,extrapolated_ch_index_backward,,,,,,,,,1203.0,253.0
1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9,,,526436.0,15430.0,,3328.0,extrapolated_ch_index_backward,,,,,,,,,1248.0,259.0
1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9,,,531374.0,15350.0,,3422.0,extrapolated_ch_index_backward,,,,,,,,,1283.0,258.0
1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.4,,,535333.0,15149.0,,3528.0,extrapolated_ch_index_backward,,,,,,,,,1323.0,259.0
1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.2,,,541343.0,15021.0,,3654.0,extrapolated_ch_index_backward,54185628.0,,33517450.0,13855420.0,101558498.0,,,,1370.0,267.0
1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.8,,,548138.0,14978.0,,3742.0,extrapolated_ch_index_backward,57816159.0,,35549891.0,11675800.0,105041850.0,,,,1403.0,268.0
1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.8,,,555458.0,15144.0,,3872.0,extrapolated_ch_index_backward,62833388.0,,37113815.0,11431820.0,111379023.0,,,,1452.0,273.0
1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.4,,,562688.0,15207.0,,4019.0,extrapolated_ch_index_backward,65447964.0,,40431110.0,9732260.0,115611334.0,,,,1507.0,274.0
1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6,,,574661.0,15539.0,,4254.0,extrapolated_ch_index_backward,68795505.0,,44105498.0,8264050.0,121165053.0,2071012202.0,1427109158.0,43100524.0,1595.0,272.0
